affigueiredo.com.br :127.0.0.32:Blocked, affigueiredo.com.br on lists [ab], See: http://www.surbl.org/lists.html
moterevent.ru :127.0.0.100:Blocked, moterevent.ru on lists [ab][jp][ws], See: http://www.surbl.org/lists.html
mythatto.ru :127.0.0.100:Blocked, mythatto.ru on lists [ab][jp][ws], See: http://www.surbl.org/lists.html
narecher.ru :127.0.0.100:Blocked, narecher.ru on lists [ab][jp][ws], See: http://www.surbl.org/lists.html
natalrep.ru :127.0.0.100:Blocked, natalrep.ru on lists [ab][jp][ws], See: http://www.surbl.org/lists.html
nerefres.ru :127.0.0.100:Blocked, nerefres.ru on lists [ab][jp][ws], See: http://www.surbl.org/lists.html
netitit.ru :127.0.0.100:Blocked, netitit.ru on lists [ab][jp][ws], See: http://www.surbl.org/lists.html
newasheck.ru :127.0.0.100:Blocked, newasheck.ru on lists [ab][jp][ws], See: http://www.surbl.org/lists.html
nositthat.ru :127.0.0.100:Blocked, nositthat.ru on lists [ab][jp][ws], See: http://www.surbl.org/lists.html
ornaid.ru :127.0.0.100:Blocked, ornaid.ru on lists [ab][jp][ws], See: ftp://www.surbl.org/lists.html
ortontin.ru :127.0.0.100:Blocked, ortontin.ru on lists [ab][jp][ws], See: surbl.org/lists.html
pagotlet.ru :127.0.0.116:Blocked, pagotlet.ru on lists [ab][jp][mw][ws], See: www.surbl.org/lists.html
parningtold.ru :127.0.0.100:Blocked, parningtold.ru on lists [ab][jp][ws], See: *://www.surbl.org/lists.html
